id,nameeng,nameamh,position,placeofassignment,detail,,
514,Teferi Tiyaro,ክቡር አቶ ተፈሪ ጢያሮ ,በሚንስትር ማዕረግ ,የፖሊሲ ጥናትና ምርምር ማዕከል ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
515,Getachew Assefa,ክቡር አቶ ጌታቸው አሰፋ ,በሚኒስትር ማዕረግ ዋና ዳይሬክተር,ብሔራዊ መረጃና ደህንነት አገልግሎት  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
516,Alemnew Mekonnen,ክቡር አቶ ዓለምነው መኮንን,በሚኒስትር ማዕረግ ኘሬዝዳንት ,የመለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
517,Legesse Tulu,ክቡር አቶ ለገሠ ቱሉ ,በሚኒስትር ማዕረግ ም/ኘሬዝዳንት,የመለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
518,Tsegaye Mamo,ክቡር አቶ ፀጋዬ ማሞ,በሚኒስትር ማዕረግ የአካዳሚ ዘርፍ ም/ኘሬዝዳንት ,የመለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
519,Demissie Shito,ክቡር አቶ ደምሴ ሽቶ,በሚኒስትር ማዕረግ የምርምርና ጥናት ዘርፍ ም/ኘሬዝዳንት ,የመለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
520,Meles Tilahun,ክቡር አቶ መለስ ጥላሁን ,በሕዝብ ተወካዮች ምክር ቤት ረዳት የመንግስት ተጠሪ ሚኒስትር ዴኤታ ,የሕዝብ ተወካዮች ምክር ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
521,Atsibha Aregawi,ክቡር አቶ አፅብሃ አረጋዊ  ,በሕዝብ ተወካዮች ምክር ቤት ረዳት የመንግስት ተጠሪ ሚኒስትር ዴኤታ ,የሕዝብ ተወካዮች ምክር ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
522,Getachew Bedanie,ክቡር አቶ ጌታቸው በዳኔ ,በሕዝብ ተወካዮች ምክር ቤት ረዳት የመንግስት ተጠሪ ሚኒስትር ዴኤታ ,የሕዝብ ተወካዮች ምክር ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
523,Amanuel,ክቡር አቶ አማኑኤል ,በሕዝብ ተወካዮች ምክር ቤት ረዳት የመንግስት ተጠሪ ሚኒስትር ዴኤታ ,የሕዝብ ተወካዮች ምክር ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
524,Hirut Zemene,ክብርት ወ/ሮ ሂሩት ዘመነ ,የፖለቲካ ዲኘሎማሲ ዘርፍ ሚኒስትር ዴኤታ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
525,Professor Afwork Kassu,ኘሮፌሰር አፈወርቅ ካሱ,ሚኒስትር ዴኤታ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
526,Dr. Aklilu H/Michael,ክቡር ዶ/ር አክሊሉ ኃይለሚካኤል,የቢዝነስና ዲያስፖራ ዘርፍ ሚኒሰተር ዴኤታ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
527,Birtukan Ayano,ክብርት ወ/ሮ ብርቱካን አያኖ,ሚኒስትር ዴኤታ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
528,Getachew H/Mariyam,ክቡር አቶ ጌታቸው ኃይለማርያም,ሚኒስትር ዴኤታ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
529,Ambassador Lelealem G/Yohannes,ክቡር አምባሳደር ሌላዓለም ገ/ዩሐንስ,ሚኒስትር ዴኤታ,የውጭ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
530,Professor Fekadu Beyene,ክቡር ኘሮፌሰር ፍቃዱ በየነ ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
531,Dr. Kaba Ourgessa,ክቡር ዶ/ር ካባ ኡርጌሳ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
532,Dr. Eyasu Abrha,ክቡር ዶ/ር ኢያሱ አብርሃ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
533,Dr. G/Egziabher G/Yohannes,ክቡር ዶ/ር ገ/እግዚአብሔር ገ/ዩሐንስ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
534,Tesfaye Mengiste,ክቡር አቶ ተስፋዬ መንግስቴ ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
535,Mehammud Ahmed Geas,ክቡር አቶ መሐሙዳ አህመድ ጋዓስ ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
536,Alebachew Nigussie,ክቡር አቶ አለባቸው ንጉሴ,ሚኒስትር ዴኤታ,የግብርናና የእንስሳት ሀበት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
537,Mulugeta Wuletaw,ክቡር አቶ ሙሉጌታ ውለታው ,የፌዴራልና የአርብቶ አደር ልማት ጉዳዮች ሚኒስትር ኤዴታ,የፌዴራልና የአርብቶ አደር ልማት ጉዳዮች ሚንስተር ኤዴታ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
538,Awol Wegirso,ክቡር አቶ አወል ወጊርሶ,የብዙሃን ሙያ ማኀበራትና የሐይማኖቶች ጉዳይ ሚኒስትር ዴኤታ ,የፌዴራልና የአርብቶ አደር ልማት ጉዳዮች ሚንስተር ኤዴታ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
539,Kaydaki Gezahigne,ክቡር አቶ ካይዳኪ ገዛኸኝ,የታዳጊ ክልሎችና የአርብቶ አደር ልማት ጉዳይ ሚኒስትር ዴኤታ ,የፌዴራልና የአርብቶ አደር ልማት ጉዳዮች ሚንስተር ኤዴታ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
540,Esmael Alisero,ክቡር አቶ እስማኤል ዓሊሴሮ,በሚኒስትር ዴኤታ ማዕረግ የሚኒስትሩ አማካሪ ,የፌዴራልና የአርብቶ አደር ልማት ጉዳዮች ሚንስተር ኤዴታ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
541,Ahmed Toussa,ክቡር አቶ አህመድ ቱሳ,ሚኒስትር ዴኤታ,የገንዘብና የኢኮኖሚ ትብብር ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
542,Admassu Nebebe,ክቡር አቶ አድማሱ ነበበ,የኢኮኖሚ ትብብር ሚኒስትር ኤዴታ ,የገንዘብና የኢኮኖሚ ትብብር ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
543,Kefyalew Tefera,ክቡር አቶ ከፍያለው ተፈራ ,ሚኒስትር ዴኤታ,የፐብሊክ ሰርቪስና የሰው ሀብት ልማት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
544,Nega Berha,ክቡር አቶ ነጋ በርሀ,የመልካም አስተዳደር ጉዳዮች ሚኒስትር ኤዴታ ,የፐብሊክ ሰርቪስና የሰው ሀብት ልማት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
545,Ayelech Eshetie,ክብርት ወ/ሮ አየለች እሸቴ,የሰው ሀብት ሥራ አመራር ጉዳዮች ሚኒስትር ዴኤታ ,የፐብሊክ ሰርቪስና የሰው ሀብት ልማት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
546,Teka Gebrekidan,ክቡር አቶ ተካ ገብረኪዳን ,የፌዴራል ጠቅላይ ዐቃቢ ሕግ,የፌዴራል ጠቅላይ ዐቃቢ ሕግ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
547,Geleta Seyum,ክቡር አቶ ገለታ ስዩም ,የፌዴራል ጠቅላይ ዐቃቢ ሕግ,ምክትል ጠቅላይ ዐቃቢ ሕግ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
548,Admassu Ango,ክቡር አቶ አድማሱ አንጎ,የፌዴራል ጠቅላይ ዐቃቢ ሕግ,ምክትል ጠቅላይ ዐቃቢ ሕግ ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
549,Habtamu Sissay,ክቡር አቶ ሀብታሙ ሲሳይ ,ሚኒስትር ዴኤታ,የንግድ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
550,Dr. Mebrhatu Melesse,ክቡር ዶ/ር መብራቱ መለሰ ,ሚኒስትር ዴኤታ,የንግድ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
551,Yohannes Dinkayehu,ክቡር አቶ ዩሐንስ ድንቃየሁ,ሚኒስትር ዴኤታ,የኢንዱስትሪ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
552,Ato Ayana Zewudie,ክቡር አቶ አያና ዘውዴ ,ሚኒስትር ዴኤታ,የኢንዱስትሪ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
553,Bogale Feleke,ክቡር አቶ ቦጋለ ፈለቀ ,የጨርቃጨርቅና ቆዳ ዘርፍ ሚኒስር ዴኤታ,የኢንዱስትሪ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
554,Hiwot Mossisa,ክብርት ወ/ሮ ሕይወት ሞሲሳ,ሚኒስትር ዴኤታ,የትራንስፖርት ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
555,Eshetie Asfaw,ክቡር አቶ እሸቴ አስፋው ,ሚኒስትር ዴኤታ,የትራንስፖርት ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
556,Million Matheous,ክቡር አቶ ሚሊዮን ማቲዎስ ,ሚኒስትር ዴኤታ,የትራንስፖርት ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
557,Sissay Tola,ክቡር አቶ ሲሳይ ቶላ,ሚኒስትር ዴኤታ,የመገናኛና ኢንፎርሜሸን ቴክኖሎጂ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
558,Dr. Mebratu G/Mariam,ክቡር ዶ/ር መብራቱ ገ/ማርያም ,ሚኒስትር ዴኤታ,የመገናኛና ኢንፎርሜሸን ቴክኖሎጂ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
559,Dr. Negash Waqshaw,ክቡር ዶ/ር ነጋሽ ዋቅሻው ,ሚኒስትር ዴኤታ,የውሃ፣መስኖና ኤሌክትሪክ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
560,Dr. Abrha Adugna,ክቡር ዶ/ር አብርሃ አዱኛ,ሚኒስትር ዴኤታ,የውሃ፣መስኖና ኤሌክትሪክ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
561,Dr. Firehiwot Woldehanna,ክቡር ዶ/ር ፍሬሕይወት ወልደሃና,የኤሌክትሪክ ዘርፍ ሚኒስቴር ዴኤታ,የውሃ፣መስኖና ኤሌክትሪክ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
562,W/Ro Firenesh Mekuriya,ክብርት ወ/ሮ ፍሬነሽ መኩሪያ,ሚኒስትር ዴኤታ,የውሃ፣መስኖና ኤሌክትሪክ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
563,Colonel Tazer G/Egziabher,ክቡር ኮሎኔር ታዜር ገ/እግዚአብሔር ,ሚኒስትር ዴኤታ,የከተማ ልማትና ቤቶች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
564,Hirut Biresa,ክብርት ወ/ሮ ሂሩት ቢረሳ,የከትማ ልማት ዘርፍ ሚኒስትር ዴኤታ,የከተማ ልማትና ቤቶች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
565,Gebremeskel Chala,ክቡር አቶ ገብረመስቀል ጫላ,የአቅም ግንባታና የቴክኖሎጂ ሽግግር ዘርፍ ሚኒስትር ዴኤታ ,የኮንስትራክሽን ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
566,Solomon Hailu,ክቡር አቶ ሰለሞን ኃይሉ ,የሬጉላቶሪ ዘርፍ ሚኒስትር ዴኤታ,የኮንስትራክሽን ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
567,Kalihid Abdrahman,ክቡር አቶ ካሊድ አብዳርሃማን ,ሚኒስትር ዴኤታ,የኮንስትራክሽን ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
568,Ambassador Misganaw Admassu,ክቡር አምባሳደር ምሥጋናው አድማሱ,የሠራተኞች ጉዳይ ዘርፍ ሚኒስትር ዴኤታ ,የሠራተኛና ማኀራዊ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
569,Ambassador Misganu Arega,ክብር አምባሳደር ምስጋኑ አርጋ ,ሚኒስትር ዴኤታ,የሠራተኛና ማኀራዊ ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
570,Assefa Kumsa,ክቡር አቶ አሰፋ ኩምሳ,ሚኒስትር ዴኤታ,የማዕድን የነዳጅና የተፈጥሮ ጋዝ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
571,Dr. Kongtut Lam,ክቡር ዶ/ር ኮንግቱት ላም ,የነዳጅና ተፈጥሮ ጋዝ ሚኒስትር ዴኤታ ,የማዕድን የነዳጅና የተፈጥሮ ጋዝ ሚኒስቴር,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
572,Mehammed Ahmedin,ክቡር አቶ መሐመድ አህመዲን ,የአጠቃላይ ትምህርት ዘርፍ ሚኒስተር ዴዴታ ,የትምህርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
573,Samuel Kifle,ክቡር ዶ/ር ሳሙኤል ክፍሌ,የከፍተኛ ትምህርት ዘርፍ ሚኒስትር ዴኤታ ,የትምህርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
574,Teshome Lemma,ክቡር አቶ ተሾመ ለማ,የቴክኒክና ሙያ ትምህርትና ሥልጠና ዘርፍ ሚኒስትር ዴኤታ ,የትምህርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
575,Sahilesilassie Teka,ክቡር አቶ ሳህለሥላሴ ተካ ,ሚኒስትር ዴኤታ,የትምህርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
576,Dr. Kebede Worku,ክቡር ዶ/ር ከበደ ወርቁ ,የኘሮግራሞች ዘርፍ ሚኒስትር ዴኤታ ,የጤና ጥበቃ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
577,Birhanu Feyisa,ክቡር አቶ ብርሃኑ ፈይሳ,ሚኒስትር ዴኤታ,የጤና ጥበቃ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
578,Seharla Abdulahi,ክብርት ወ/ሬ ሰሃርላ አብዱላሂ,ሚኒስትር ዴኤታ,የጤና ጥበቃ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
579,Eifrah Ali Mussie,ክብርት ወ/ሮ ኢፍራህ ዓሊ ሙሴ,ሚኒስትር ዴኤታ,የሳይንስና ቴክኖሎጂ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
580,Dr. Shumetie Gizaw,ክቡር ዶ/ር ሹመቴ ግዛው,ሚኒስትር ዴኤታ,የሳይንስና ቴክኖሎጂ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
581,Bizunesh Mesert,ክብርት ወ/ሮ ብዙነሽ መሠረት ,ሚኒስትር ዴኤታ,የባህልና ቱሪዝም ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
582,Buzena Alkedir,ክብርት ወ/ር ቡዜና አልከድር ,ሚኒስትር ዴኤታ,የባህልና ቱሪዝም ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
583,Karie Chawuicha,ክቡር አቶ ቃሬ ጫውቻ ,የአካባቢና የአየር ንብረት ለውጥ ሚኒስትር ዴኤታ ,የአካባቢ፣ደንና የአየር ንብረት ለውጥ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
584,Kebede Yimam,ክቡር አቶ ከበደ ይማም ,የደን ሚኒስትር ዴኤታ,የአካባቢ፣ደንና የአየር ንብረት ለውጥ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
585,Aster Dawit,ክብርት ወ/ሮ አስቴር ዳዊት ,ሚኒስትር ዴኤታ,የሴቶችና ሕፃናት ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
586,Alemitu Oumod Oujilu,ክብርት ወ/ሮ ዓለሚቱ ኡሞድ ኡጁሉ,የሕፃናት  ገዳይ ሚንስቴር ዴኤታ ,የሴቶችና ሕፃናት ጉዳይ ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
587,Firehiwot Ayalew,ክብርት ወ/ሮ ፍሬሕይወት አያሌው,ሚኒስትር ዴኤታ,የወጣቶችና ስፖርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
588,Feriha Mehammmed,ብርት ወ/ሮ ፈርሂያ መሐመድ,ሚኒስትር ዴኤታ,የወጣቶችና ስፖርት ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
589,Misrak Mamo,ክብርት ወ/ሮ ምስራቅ ማሞ,ሚኒስትር ዴኤታ,የመንግስት የልማት ድርጅቶች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
590,Simegne Wube,ክብርት ወ/ሮ ስመኝ ውቤ,ሚኒስትር ዴኤታ,የመንግስት የልማት ድርጅቶች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
591,Beyene G/Meskel,ክቡር አቶ በየነ ገ/መስቀል ,የማኑፋክቸሪንግ ኢንዱስትሪና የግብርና ዘርፍ ሚኒስቴር ዴኤታ ,የመንግስት የልማት ድርጅቶች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
592,Getachew Balcha,ክቡር አቶ ጌታቸው ባልቻ ,ሚኒስትር ዴኤታ,የመንግስት የልማት ድርጅቶች ሚኒስቴር ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
593,Getachew Adem,ክቡር አቶ ጌታቸው አደም ,በሚኒስትር ዴኤታ ማዕረግ የክፍላተ ኢኮኖሚ ኘላን ዘርፍ ም/ኮሚሽነር ,የብሔራዊ ኘላን ኮሚሽን,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
594,Kassahun Gofie,ክቡር አቶ ካሳሁን ጎፌ,ሚኒስትር ዴኤታ,የመንግስት ኮሙኒኬሽን ጉዳዮች ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
595,Temesgen Tiruneh,ክቡር አቶ ተመስገን ጥላሁን ,ሚኒስትር ዴኤታ,የመንግስት ኮሙኒኬሽን ጉዳዮች ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
596,Tewodros G/Egziabher,ክቡር አቶ ቴድሮስ ገ/እልዚአብሔር,በሚኒስትር ዴኤታ ማዕረግ ምክትል ዋና ዳይሬክተር,የገቢዎችና ጉምሩክ ባለሥልጣን ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
597,Zemedie Tefera,ክቡር አቶ ዘመዴ ተፈራ ,በሚኒስትር ዴኤታ ማዕረግ ሕግ የማስከበር ሥራዎች ዘርፍ ምክትል ዋና ዳይሬክተር ,የገቢዎችና ጉምሩክ ባለሥልጣን ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
598,Tesfaye Tulu,ክቡር አቶ ተስፋዬ ቱሉ,በሚኒስቴር ዴኤታ ማዕረግ የጉምሩክ ኘሮግራም ልማት ድጋፍ ዘርፍ ምክትል ዋና ዳይሬክተር ,የገቢዎችና ጉምሩክ ባለሥልጣን ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
599,Netsanet Abera,ክብርት ወ/ሮ ነፃነት አበራ ,በሚኒስትር ዴኤታ ማዕረግ የአገር ውስጥ ታክስ ኘሮግራም ልማት ድጋፍ ሥራዎች ዘርፍ ምክትል ዋና ዳይሬክተር ,የገቢዎችና ጉምሩክ ባለሥልጣን ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
600,Fitsum Arega,ክቡር አቶ ፍፁም አረጋ,በሚኒስትር ዴኤታ ማዕረግ የጠቅላይ ሚኒስትሩ ልዩ ጽ/ቤት ኃላፊ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
601,Zekariyas Erkala,ክቡር አቶ ዘካርያስ ኤርካላ,የካቢኒ ጉዳዮች ሚኒሰትር ዴኤታ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
602,Worku Guangul,ክቡር አቶ ወርቁ ጓንጉል ,የጽ/ቤት አገልግሎትና መልካም አስተዳደር ሚኒስትር ዴኤታ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
603,Assefa Abdu\,ክቡር አቶ አሰፋ አብዩ,የጠቅይ ሚኒስትሩ የብሔራዊ ደህንነት ጉዳዮች አማካሪ ሚኒስትር ዴኤታ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
604,G/Tinsay G/Michael,ክቡር አቶ ገብረትንሣይ ገ/ሚካኤል ,በሚንስትር ዴኤታ ማዕረግ በጠቅላይ ሚንሰትር ጽ/ቤት የተቀናጀ የመሬት አጠቃቀም ዕቅድና ፖሊሲ ዝግጅት ኘሮጀክት ጽ/ቤት ም/ኃላፊ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
605,Fisha Yitagesu,ክቡር አቶ ፍስሐ ይታገሱ,በጠቅላይ ሚኒሰር ጽ/ቤት በሚኒስትር ዴኤታ ማዕረግ የወቅታዊ ጉዳዮች ጥናትግ ትንተና አስተባባሪ ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
606,Getachew Ambaye,ክቡር አቶ ጌታቸው አምባዬ,በሚኒስትር ዴኤታ በማረግ በጠቅላይ ሚኒስትር ጽ/ቤት የልግ አማካሪ,የጠቅላይ ሚኒስትር ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
607,Zadig Abrha,ክቡር አቶ ዛዲግ አብርሃ,በሚኒስትር ዴታ ማዕረግ የዲሞክራሲ ሥራዓት ግንባታ ማስተባበሪያ ማዕከል ,ኢህአዴግ ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
608,Temesgen Burka,ክቡር ዶ/ር ተመስገን ቡርቃ ,በሚኒስትር ዴታ ማዕረግ የዲሞክራሲ ሥራዓት ግንባታ ማስተባበሪያ ማዕከል ,ኢህአዴግ ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
609,Badat Nasha,ክቡር አቶ ባዳት ናሻ,በሚኒስትር ዴታ ማዕረግ የዲሞክራሲ ሥራዓት ግንባታ ማስተባበሪያ ማዕከል ,ኢህአዴግ ጽ/ቤት ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
